Age group,Govt.,Pvt.,Other,"Not inschool",Total
Age: 6-14 ALL,75.9,21.9,0.3,1.9,100
Age: 7-16  ALL,73.6,22.7,0.3,3.5,100
Age: 7-10  ALL,76.4,22.5,0.3,0.7,100
Age: 7-10 BOYS,74.2,24.8,0.4,0.5,100
Age: 7-10 GIRLS,78.8,20.1,0.2,0.9,100
Age: 11-14 ALL,75.3,21.3,0.2,3.1,100
Age: 11-14 BOYS,74.0,23.4,0.2,2.4,100
Age: 11-14 GIRLS,76.7,19.3,0.2,3.8,100
Age: 15-16 ALL,60.9,27.1,0.1,11.9,100
Age: 15-16 BOYS,59.2,28.2,0.1,12.5,100
Age: 15-16 GIRLS,62.7,26.0,0.1,11.2,100
