"","In balwadioranganwadi","In LKG/UKG",In School,"","","Not inschoolor pre-school",Total
"","","",Govt.,Pvt.,Other,"",""
Age 3,83.0,6.0,"","","",11.0,100
Age 4,77.7,19.0,"","","",3.3,100
Age 5,60.7,29.9,5.6,2.1,0.1,1.6,100
Age 6,12.7,12.9,56.2,16.1,0.7,1.3,100
