"Table 3: % Children age 5-6 who are enrolled in different types
of pre-school & school 2011","","","",""
"","In balwadi
or
anganwadi","In LKG/
UKG","In LKG/
UKG","d
In School 
lel 
re
ro 
eh 
ta
l
ne
t 
yn
w 
To
Govt Pvt Other 
o
N 
a","d
In School 
lel 
re
ro 
eh 
ta
l
ne
t 
yn
w 
To
Govt Pvt Other 
o
N 
a",""
"","","","",Govt Pvt Other,"",Govt Pvt Other,"","","",""
Age 5,52.9,27.7,13.6 4.8 0.4 0.6 100,""
Age 6,10.3,9.5,57.1 21.2 1.1 1.0 100,""
